state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Maharashtra,Ahmednagar,Karjat,Bengal Gram(Gram)(Whole),Other,FAQ,14/10/2024,6000,6000,6000
Maharashtra,Ahmednagar,Sangamner,Seetapal,Other,Local,14/10/2024,4000,10000,7000
Maharashtra,Ahmednagar,Shevgaon,Onion,1st Sort,FAQ,14/10/2024,4000,4500,4250
Maharashtra,Ahmednagar,Shevgaon,Onion,2nd Sort,FAQ,14/10/2024,2200,3800,2450
Maharashtra,Ahmednagar,Shrirampur,Bhindi(Ladies Finger),Other,FAQ,14/10/2024,2500,3500,3000
Maharashtra,Ahmednagar,Shrirampur,Cabbage,Other,FAQ,14/10/2024,600,1000,800
Maharashtra,Ahmednagar,Shrirampur,Carrot,Other,FAQ,14/10/2024,1000,2000,1500
Maharashtra,Ahmednagar,Shrirampur,Ginger(Green),Other,FAQ,14/10/2024,2500,6000,4500
Maharashtra,Ahmednagar,Shrirampur,Green Chilli,Other,FAQ,14/10/2024,4000,6500,5000
Maharashtra,Ahmednagar,Shrirampur,Guar,Other,FAQ,14/10/2024,5000,7000,6000
Maharashtra,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,FAQ,14/10/2024,8500,9455,9240
Maharashtra,Akola,Akola,Bengal Gram(Gram)(Whole),Other,FAQ,14/10/2024,5500,6945,6555
Maharashtra,Akola,Akola,Ginger(Green),Other,FAQ,14/10/2024,3000,8000,6000
Maharashtra,Akola,Akola,Wheat,Other,FAQ,14/10/2024,2400,2880,2680
Maharashtra,Akola,Barshi Takli,Soyabean,Yellow,FAQ,14/10/2024,3850,4425,4300
Maharashtra,Amarawati,Amarawati,Arhar (Tur/Red Gram)(Whole),Other,FAQ,14/10/2024,9000,9601,9300
Maharashtra,Amarawati,Amarawati,Bajra(Pearl Millet/Cumbu),Other,FAQ,14/10/2024,2500,2800,2650
Maharashtra,Amarawati,Amarawati,Black Gram (Urd Beans)(Whole),Other,FAQ,14/10/2024,6500,7100,6800
Maharashtra,Amarawati,Amarawati,Jowar(Sorghum),Other,FAQ,14/10/2024,2000,2200,2100
Maharashtra,Amarawati,Amarawati,Wheat,Other,FAQ,14/10/2024,2750,2950,2850
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Bitter gourd,Other,FAQ,14/10/2024,2800,3000,2900
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Cabbage,Other,FAQ,14/10/2024,1400,1500,1450
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Cauliflower,Other,FAQ,14/10/2024,1400,1600,1500
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Orange,Other,Local,14/10/2024,1600,2200,1900
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Pomegranate,Other,Local,14/10/2024,8000,12000,10000
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Potato,Local,FAQ,14/10/2024,1000,2800,1900
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Pumpkin,Other,FAQ,14/10/2024,800,1000,900
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,14/10/2024,1000,4550,4022
Maharashtra,Beed,Ambejaogai,Soyabean,Yellow,FAQ,14/10/2024,3760,4420,4350
Maharashtra,Beed,Beed,Black Gram (Urd Beans)(Whole),Other,FAQ,14/10/2024,4000,7421,6488
Maharashtra,Beed,Kille Dharur,Bengal Gram(Gram)(Whole),Other,FAQ,14/10/2024,5959,7200,6464
Maharashtra,Beed,Majalgaon,Soyabean,Other,FAQ,14/10/2024,3500,4351,4000
Maharashtra,Beed,Majalgaon,Wheat,Other,FAQ,14/10/2024,2300,2775,2700
Maharashtra,Bhandara,Bhandara,Rice,1009 Kar,FAQ,14/10/2024,4100,4100,4100
Maharashtra,Buldhana,Buldhana(Dhad),Black Gram (Urd Beans)(Whole),Other,FAQ,14/10/2024,5000,6000,5500
Maharashtra,Buldhana,Chikali,Wheat,Other,FAQ,14/10/2024,2251,3000,2625
Maharashtra,Buldhana,Deoulgaon Raja,Black Gram (Urd Beans)(Whole),Other,FAQ,14/10/2024,6000,8101,8101
Maharashtra,Buldhana,Deoulgaon Raja,Green Gram (Moong)(Whole),Green (Whole),FAQ,14/10/2024,5300,7611,7611
