id,state,district,crop,success_rate
0,Andhra Pradesh,ANANTAPUR,Millet,1
1,Andhra Pradesh,ANANTAPUR,Groundnut,0.871008203
2,Andhra Pradesh,ANANTAPUR,Jowar,0.813219766
3,Andhra Pradesh,ANANTAPUR,Tea,0.996135164
4,Andhra Pradesh,ANANTAPUR,Rice,0.820656578
5,Andhra Pradesh,ANANTAPUR,Sugarcane,1
6,Andhra Pradesh,ANANTAPUR,Wheat,0.846053774
7,Andhra Pradesh,ANANTAPUR,Soyabean,0.99697097
8,Andhra Pradesh,CHITTOOR,Millet,0.984087786
9,Andhra Pradesh,CHITTOOR,Groundnut,0.889014004
10,Andhra Pradesh,CHITTOOR,Jowar,0.804285419
11,Andhra Pradesh,CHITTOOR,Tea,0.994221865
12,Andhra Pradesh,CHITTOOR,Rice,0.820656578
13,Andhra Pradesh,CHITTOOR,Sugarcane,0.997878907
14,Andhra Pradesh,EAST GODAVARI,Millet,0.99021267
15,Andhra Pradesh,EAST GODAVARI,Groundnut,0.912888568
16,Andhra Pradesh,EAST GODAVARI,Jowar,0.799995444
17,Andhra Pradesh,EAST GODAVARI,Rice,0.820656578
18,Andhra Pradesh,EAST GODAVARI,Sugarcane,1
19,Andhra Pradesh,EAST GODAVARI,Tea,0.999104697
20,Andhra Pradesh,GUNTUR,Groundnut,0.908462972
21,Andhra Pradesh,GUNTUR,Rice,0.819403848
22,Andhra Pradesh,GUNTUR,Sugarcane,0.990509836
23,Andhra Pradesh,GUNTUR,Jowar,0.779255481
24,Andhra Pradesh,GUNTUR,Millet,0.850932755
25,Andhra Pradesh,GUNTUR,Soyabean,0.99697097
26,Andhra Pradesh,GUNTUR,Tea,0.995685893
27,Andhra Pradesh,KADAPA,Millet,1
28,Andhra Pradesh,KADAPA,Groundnut,0.891689815
29,Andhra Pradesh,KADAPA,Jowar,0.798557428
30,Andhra Pradesh,KADAPA,Rice,0.820656578
31,Andhra Pradesh,KADAPA,Tea,0.990618751
32,Andhra Pradesh,KADAPA,Sugarcane,0.991707782
33,Andhra Pradesh,KRISHNA,Groundnut,0.923018043
34,Andhra Pradesh,KRISHNA,Jowar,0.811953321
35,Andhra Pradesh,KRISHNA,Rice,0.820656578
36,Andhra Pradesh,KRISHNA,Sugarcane,1
37,Andhra Pradesh,KURNOOL,Millet,1
38,Andhra Pradesh,KURNOOL,Groundnut,0.880701821
39,Andhra Pradesh,KURNOOL,Jowar,0.813219766
40,Andhra Pradesh,KURNOOL,Rice,0.820656578
41,Andhra Pradesh,KURNOOL,Wheat,0.846053774
42,Andhra Pradesh,KURNOOL,Sugarcane,1
43,Andhra Pradesh,KURNOOL,Soyabean,0.937380085
44,Andhra Pradesh,PRAKASAM,Millet,0.999715758
45,Andhra Pradesh,PRAKASAM,Groundnut,0.926708323
46,Andhra Pradesh,PRAKASAM,Jowar,0.813219766
47,Andhra Pradesh,PRAKASAM,Rice,0.818997516
48,Andhra Pradesh,PRAKASAM,Sugarcane,0.996790022
49,Andhra Pradesh,PRAKASAM,Tea,0.999104697
50,Andhra Pradesh,SPSR NELLORE,Millet,1
51,Andhra Pradesh,SPSR NELLORE,Groundnut,0.9265418
52,Andhra Pradesh,SPSR NELLORE,Tea,0.985182533
53,Andhra Pradesh,SPSR NELLORE,Rice,0.815274854
54,Andhra Pradesh,SPSR NELLORE,Sugarcane,1
55,Andhra Pradesh,SPSR NELLORE,Jowar,0.796075525
56,Andhra Pradesh,SRIKAKULAM,Millet,0.989613832
57,Andhra Pradesh,SRIKAKULAM,Groundnut,0.918166755
58,Andhra Pradesh,SRIKAKULAM,Jowar,0.732622601
59,Andhra Pradesh,SRIKAKULAM,Tea,0.999104697
60,Andhra Pradesh,SRIKAKULAM,Rice,0.816953457
61,Andhra Pradesh,SRIKAKULAM,Sugarcane,1
62,Andhra Pradesh,VISAKHAPATANAM,Millet,0.99267276
63,Andhra Pradesh,VISAKHAPATANAM,Groundnut,0.926708323
64,Andhra Pradesh,VISAKHAPATANAM,Jowar,0.813219766
65,Andhra Pradesh,VISAKHAPATANAM,Tea,0.979972596
66,Andhra Pradesh,VISAKHAPATANAM,Rice,0.820656578
67,Andhra Pradesh,VISAKHAPATANAM,Sugarcane,0.998650016
68,Andhra Pradesh,VIZIANAGARAM,Millet,0.989933384
69,Andhra Pradesh,VIZIANAGARAM,Groundnut,0.923916845
70,Andhra Pradesh,VIZIANAGARAM,Jowar,0.805884401
71,Andhra Pradesh,VIZIANAGARAM,Tea,0.999104697
72,Andhra Pradesh,VIZIANAGARAM,Rice,0.820656578
73,Andhra Pradesh,VIZIANAGARAM,Sugarcane,0.996664758
74,Andhra Pradesh,WEST GODAVARI,Groundnut,0.926708323
75,Andhra Pradesh,WEST GODAVARI,Jowar,0.813219766
76,Andhra Pradesh,WEST GODAVARI,Rice,0.820656578
77,Andhra Pradesh,WEST GODAVARI,Sugarcane,0.996895152
78,Bihar,ARARIA,Rice,0.820656578
79,Bihar,ARARIA,Wheat,0.846053774
80,Bihar,ARARIA,Tea,0.999104697
81,Bihar,ARARIA,Jowar,0.803216448
82,Bihar,ARARIA,Groundnut,0.926708323
83,Bihar,ARWAL,Barley,0.996322217
84,Bihar,ARWAL,Wheat,0.846053774
85,Bihar,ARWAL,Rice,0.817379394
86,Bihar,AURANGABAD,Barley,0.994286764
87,Bihar,AURANGABAD,Wheat,0.846053774
88,Bihar,AURANGABAD,Sugarcane,0.9998615
89,Bihar,AURANGABAD,Rice,0.820656578
90,Bihar,AURANGABAD,Jowar,0.79562724
91,Maharashtra,AURANGABAD,Millet,0.992866194
92,Maharashtra,AURANGABAD,Groundnut,0.926708323
93,Maharashtra,AURANGABAD,Soyabean,0.993959343
94,Bihar,BANKA,Barley,0.969563409
95,Bihar,BANKA,Wheat,0.846053774
96,Bihar,BANKA,Rice,0.817001644
97,Bihar,BANKA,Sugarcane,0.994216853
98,Bihar,BEGUSARAI,Rice,0.820656578
99,Bihar,BEGUSARAI,Wheat,0.843093538
100,Bihar,BEGUSARAI,Sugarcane,0.99747158
101,Bihar,BHAGALPUR,Rice,0.820656578
102,Bihar,BHAGALPUR,Barley,0.991211122
103,Bihar,BHAGALPUR,Wheat,0.84156768
104,Bihar,BHAGALPUR,Sugarcane,0.96338253
105,Bihar,BHOJPUR,Rice,0.820656578
106,Bihar,BHOJPUR,Millet,1
107,Bihar,BHOJPUR,Jowar,0.813219766
108,Bihar,BHOJPUR,Barley,0.996322217
109,Bihar,BHOJPUR,Wheat,0.838180072
110,Bihar,BHOJPUR,Sugarcane,1
111,Bihar,BUXAR,Millet,1
112,Bihar,BUXAR,Jowar,0.813219766
113,Bihar,BUXAR,Barley,0.992508069
114,Bihar,BUXAR,Wheat,0.843017234
115,Bihar,BUXAR,Rice,0.820656578
116,Bihar,BUXAR,Sugarcane,0.978810864
117,Bihar,DARBHANGA,Rice,0.815128137
118,Bihar,DARBHANGA,Barley,0.996322217
119,Bihar,DARBHANGA,Wheat,0.843345839
120,Bihar,DARBHANGA,Tea,0.999104697
121,Bihar,DARBHANGA,Sugarcane,1
122,Bihar,GAYA,Rice,0.820656578
123,Bihar,GAYA,Barley,0.996322217
124,Bihar,GAYA,Wheat,0.846053774
125,Bihar,GAYA,Tea,0.999104697
126,Bihar,GAYA,Sugarcane,0.954039861
127,Bihar,GAYA,Jowar,0.813219766
128,Bihar,GOPALGANJ,Rice,0.820656578
129,Bihar,GOPALGANJ,Wheat,0.846053774
130,Bihar,GOPALGANJ,Tea,0.999104697
131,Bihar,GOPALGANJ,Sugarcane,0.985060798
132,Bihar,GOPALGANJ,Barley,0.982277133
133,Bihar,JAMUI,Barley,0.989247526
134,Bihar,JAMUI,Wheat,0.836901235
135,Bihar,JAMUI,Tea,0.982685469
136,Bihar,JAMUI,Sugarcane,1
137,Bihar,JAMUI,Rice,0.820656578
138,Bihar,JEHANABAD,Barley,0.982679266
139,Bihar,JEHANABAD,Wheat,0.846053774
140,Bihar,JEHANABAD,Sugarcane,1
141,Bihar,JEHANABAD,Rice,0.820656578
142,Bihar,JEHANABAD,Tea,0.999104697
143,Bihar,KAIMUR (BHABUA),Rice,0.820656578
144,Bihar,KAIMUR (BHABUA),Barley,0.9708305
145,Bihar,KAIMUR (BHABUA),Wheat,0.844555078
146,Bihar,KAIMUR (BHABUA),Sugarcane,1
147,Bihar,KATIHAR,Rice,0.820656578
148,Bihar,KATIHAR,Barley,0.98495432
149,Bihar,KATIHAR,Wheat,0.846053774
150,Bihar,KATIHAR,Tea,0.98076916
151,Bihar,KATIHAR,Sugarcane,1
152,Bihar,KHAGARIA,Rice,0.814413662
153,Bihar,KHAGARIA,Barley,0.918392875
154,Bihar,KHAGARIA,Wheat,0.833834725
155,Bihar,KHAGARIA,Sugarcane,1
156,Bihar,KISHANGANJ,Rice,0.820656578
157,Bihar,KISHANGANJ,Wheat,0.846053774
158,Bihar,KISHANGANJ,Tea,0.999104697
159,Bihar,LAKHISARAI,Wheat,0.846053774
160,Bihar,LAKHISARAI,Rice,0.814735406
161,Bihar,LAKHISARAI,Barley,0.996322217
162,Bihar,MADHEPURA,Rice,0.820656578
163,Bihar,MADHEPURA,Wheat,0.846053774
164,Bihar,MADHEPURA,Tea,0.999104697
165,Bihar,MADHEPURA,Sugarcane,0.998032833
166,Bihar,MADHUBANI,Rice,0.820656578
167,Bihar,MADHUBANI,Barley,0.996322217
168,Bihar,MADHUBANI,Wheat,0.846053774
169,Bihar,MADHUBANI,Tea,0.999104697
170,Bihar,MADHUBANI,Sugarcane,1
171,Bihar,MUNGER,Barley,0.897735862
172,Bihar,MUNGER,Wheat,0.835586462
173,Bihar,MUNGER,Rice,0.817891795
174,Bihar,MUNGER,Sugarcane,1
175,Bihar,MUZAFFARPUR,Rice,0.820656578
176,Bihar,MUZAFFARPUR,Barley,0.968353328
177,Bihar,MUZAFFARPUR,Wheat,0.839614155
178,Bihar,MUZAFFARPUR,Tea,0.999104697
179,Bihar,MUZAFFARPUR,Sugarcane,0.979249696
180,Bihar,NALANDA,Barley,0.990230109
181,Bihar,NALANDA,Wheat,0.840372673
182,Bihar,NALANDA,Rice,0.797928745
183,Bihar,NALANDA,Sugarcane,0.932893945
184,Bihar,NAWADA,Barley,0.996322217
185,Bihar,NAWADA,Wheat,0.840873165
186,Bihar,NAWADA,Tea,0.999104697
187,Bihar,NAWADA,Sugarcane,-0.033288027
188,Bihar,NAWADA,Rice,0.820018233
189,Bihar,NAWADA,Jowar,0.813219766
190,Bihar,NAWADA,Groundnut,0.909477499
191,Bihar,PASHCHIM CHAMPARAN,Rice,0.820656578
192,Bihar,PASHCHIM CHAMPARAN,Barley,0.996322217
193,Bihar,PASHCHIM CHAMPARAN,Wheat,0.846053774
194,Bihar,PASHCHIM CHAMPARAN,Sugarcane,0.996868922
195,Bihar,PATNA,Rice,0.807146487
196,Bihar,PATNA,Barley,0.935158781
197,Bihar,PATNA,Wheat,0.843683046
198,Bihar,PATNA,Sugarcane,0.988371357
199,Bihar,PATNA,Jowar,0.813219766
200,Bihar,PATNA,Millet,1
201,Bihar,PURBI CHAMPARAN,Rice,0.820247642
202,Bihar,PURBI CHAMPARAN,Barley,0.991091038
203,Bihar,PURBI CHAMPARAN,Wheat,0.843212144
204,Bihar,PURBI CHAMPARAN,Tea,0.997411717
205,Bihar,PURBI CHAMPARAN,Sugarcane,1
206,Bihar,PURNIA,Rice,0.820656578
207,Bihar,PURNIA,Wheat,0.846053774
208,Bihar,PURNIA,Sugarcane,0.983179984
209,Bihar,ROHTAS,Rice,0.820656578
210,Bihar,ROHTAS,Barley,0.984983462
211,Bihar,ROHTAS,Wheat,0.843017225
212,Bihar,ROHTAS,Sugarcane,1
213,Bihar,SAHARSA,Rice,0.820656578
214,Bihar,SAHARSA,Wheat,0.846053774
215,Bihar,SAHARSA,Tea,0.999104697
216,Bihar,SAMASTIPUR,Rice,0.812202805
217,Bihar,SAMASTIPUR,Wheat,0.827115115
218,Bihar,SAMASTIPUR,Tea,0.999104697
219,Bihar,SAMASTIPUR,Sugarcane,1
220,Bihar,SAMASTIPUR,Barley,0.971895759
221,Bihar,SARAN,Rice,0.820656578
222,Bihar,SARAN,Barley,0.996322217
223,Bihar,SARAN,Wheat,0.843408589
224,Bihar,SARAN,Tea,0.999104697
225,Bihar,SARAN,Sugarcane,0.991483846
226,Bihar,SARAN,Jowar,0.813219766
227,Bihar,SHEIKHPURA,Wheat,0.846053774
228,Bihar,SHEIKHPURA,Rice,0.820656578
229,Bihar,SHEIKHPURA,Sugarcane,0.97538179
230,Bihar,SHEOHAR,Rice,0.820656578
231,Bihar,SHEOHAR,Wheat,0.846053774
232,Bihar,SHEOHAR,Sugarcane,1
233,Bihar,SITAMARHI,Rice,0.820656578
234,Bihar,SITAMARHI,Barley,0.954900804
235,Bihar,SITAMARHI,Wheat,0.833159162
